Question Text,Reworded Question,Source,Category,Second Category,Theme,
What is your favorite musician's name?,What is your favorite musician's name?,US Bank,Name,Favorites,,
What is your favorite or dream vacation location?,What is your favorite vacation destination?,SUNY Buffalo,Location,,,
What is your favorite or least favorite food?,What is your favorite or least favorite food?,SUNY Buffalo,Favorites,,,
What is your favorite outdoor activity?,What is your favorite outdoor activity?,Bank Fund Staff Federal Credit Union,Favorites,,,
What is your favorite pizza topping?,What is your favorite pizza topping?,United Airlines,Favorites,,,
What is your favorite place to visit as a child?,What is your favorite place to visit as a child?,Delta Airlines,Favorites,,Childhood,
What is your favorite restaurant?,What is the name of your favorite restaurant?,Citi Credit Card,Location,Favorites,,
What is your favorite sea animal?,What is your favorite sea animal?,United Airlines,Favorites,,,
What is your favorite song?,What is your favorite song?,Citi Credit Card,Favorites,,,
What is your favorite sport to watch?,What is your favorite sport?,JetBlue,Favorites,,,
What is your favorite sport?,What is your favorite sport?,United ,Favorites,,,
What is your favorite sport?,What is your favorite sport?,USPS,Favorites,,,
What is your favorite sport?,What is your favorite sport?,United Airlines,Favorites,,,
What is your favorite sport?,What is your favorite sport?,United Airlines,Favorites,,,
What is your favorite sports team?,What is the name of your favorite sports team?,Merrick Bank,Favorites,,,
What is your favorite teacher's name?,What is the last name of your favorite teacher?,https://www.cengagebrain.co.uk/,Name,Favorites,Childhood,
What is your favorite television show?,What is your favorite television show?,Bed Bath and Beyond,Favorites,,,
What is your favorite television show?,What is your favorite television show?,Citi Credit Card,Favorites,,,
What is your favorite type of movie?,What is your favorite type of movie?,United Airlines,Favorites,,,
What is your favorite type of movie?,What is your favorite type of movie?,United Airlines,Favorites,,,
What is your favorite type of music?,What is your favorite type of music?,United Airlines,Favorites,,,
What is your favorite type of music?,What is your favorite type of music?,United Airlines,Favorites,,,
What is your favorite type of reading?,What is your favorite type of reading?,United Airlines,Favorites,,,
What is your favorite type of reading?,What is your favorite type of reading?,United Airlines,Favorites,,,
What is your favorite type of vacation?,What is your favorite type of vacation?,United Airlines,Favorites,,,
What is your favorite type of vacation?,What is your favorite type of vacation?,United Airlines,Favorites,,,
What is your favorite vacation destination?,What is your favorite vacation destination?,53.com,Location,,,
What is your favorite warm-weather activity?,What is your favorite warm-weather activity?,United Airlines,Favorites,,,
What is your first car's make and model?,What was the make and model of your first car?,AT&T Mobile,Firsts,,Cars,
What is your first child's middle name?,What is your first child's middle name?,https://www.cengagebrain.co.uk/,Name,,Family,
What is your first pet's name?,What is the name of your first pet?,Square Enix,Name,,Pet,
What is your grandmother's middle name (your father's mother)?,What is your grandmother's middle name (your father's mother)?,53.com,Name,,Family,
What is your greatest phobia or fear?,What is your greatest phobia or fear?,US Bank,Other,,,
What is your hobby?,What is your favorite hobby?,Citi Credit Card,Favorites,,,
What is your ideal vacation spot?,What is your favorite vacation destination?,Ohio State University (my.osu.edu),Location,,,
What is your library card number?,What is your library card number?,Ohio State University (my.osu.edu),Numbers,,,
What is your maternal grandmother's maiden name?,What is your maternal grandmother's maiden name?,T-Mobile,Name,,Family,
What is your maternal grandmother's maiden name?,What is your maternal grandmother's maiden name?,Optum Bank,Name,,Family,
What is your maternal grandmother's name?,What is your maternal grandmother's name?,Bed Bath & Beyond,Name,,Family,
What is your most unique characteristic?,What is your most unique characteristic?,Citi Credit Card,Other,,,
What is your mother's maiden name?,What is your mother's maiden name?,JetBlue,Name,,Family,
What is your mother's maiden name?,What is your mother's maiden name?,Ohio State University (my.osu.edu),Name,,Family,
What is your mother's maiden name?,What is your mother's maiden name?,Ventra Chicago,Name,,Family,
What is your mother's maiden name?,What is your mother's maiden name?,Southwest Airlines,Name,,Family,
What is your mother's maiden name?,What is your mother's maiden name?,Blue Cross Blue Shield Global Core (https://www.bcbsglobalcore.com/Account/Register/),Name,,Family,
What is your mother's maiden name?,What is your mother's maiden name?,https://mygoodtogo.com/olcsc/,Name,,Family,
What is your mother's maiden name?,What is your mother's maiden name?,Square Enix,Name,,Family,
What is your mother's maiden name?,What is your mother's maiden name?,https://www.cengagebrain.co.uk/,Name,,Family,
What is your mother's maiden name?,What is your mother's maiden name?,Southwest Airlines,Name,,Family,
What is your mother's maiden name?,What is your mother's maiden name?,USPS,Name,,Family,
What is your mother's maiden name?,What is your mother's maiden name?,Bed Bath & Beyond,Name,,Family,
What is your mother's maiden name?,What is your mother's maiden name?,Bed Bath & Beyond,Name,,Family,
What is your mother's maiden name?,What is your mother's maiden name?,Optum Bank,Name,,Family,
What is your mother's maiden name?,What is your mother's middle name?,ESRI,Name,,Family,
What is your mother's middle name?,What is your mother's middle name?,Citi Credit Card,Name,,Family,
What is your mother's middle name?,What is your mother's middle name?,Aetna,Name,,Family,
What is your mother's middle name?,What is your mother's middle name?,Bank Fund Staff Federal Credit Union,Name,,Family,
What is your mother's middle name?,What is your mother's middle name?,1stBank (efirstbank.com),Name,,Family,
What is your mother's middle name?,What is your mother's middle name?,Aetna,Name,,Family,
What is your mother's name?,What is your mother's name?,Bed Bath & Beyond,Name,,Family,
What is your name of your favorite pet?,What is the name of your favorite pet?,EA Origin,Name,Favorites,Pet,
What is your nickname?,What is your nickname?,Bed Bath and Beyond,Name,,,
What is your oldest cousin's first and last name?,What is your oldest cousin's first and last name?,SUNY Buffalo,Name,,Family,
What is your oldest sibling's middle name?,What is your oldest sibling's middle name?,Spectrum Internet,Name,,Family,
What is your oldest sibling's middle name?,What is your oldest sibling's middle name?,Spectrum,Name,,Family,
What is your paternal mother's given name?,What is/was the first name of your father's mother?,Delta Airlines,Name,,Family,
What is your pet's name?,What is your pet's name?,Bed Bath and Beyond,Name,,Pet,
What is your pet's name?,What is your pet's name?,Ventra Chicago,Name,,Pet,
What is your pet's name?,What is your pet's name?,https://www.cengagebrain.co.uk/,Name,,Pet,
What is your preferred musical genre?,What is your favorite type of music?,JetBlue,Favorites,,,
What is your primary frequent flyer number?,What is your primary frequent flyer number?,Google,Numbers,,,
What is your spouse/significant other's father's first name?,What is your spouse/significant other's father's first name?,Aetna,Name,,Family,
What is your spouse's middle name?,What is your spouse's middle name?,https://www.cengagebrain.co.uk/,Name,,Family,
What is your spouse's mother's maiden name?,What is your spouse's mother's maiden name?,JetBlue,Name,,Family,
What is your spouse's/significant other's father's first name?,What is your spouse's/significant other's father's first name?,Aetna,Name,,Family,
What is your youngest sibling's middle name?,What is your youngest sibling's middle name?,T-Mobile,Name,,Family,
What is your youngest sibling's middle name?,What is your youngest sibling's middle name?,T-Mobile,Name,,Family,
What is your youngest sibling's middle name?,What is your youngest sibling's middle name?,T-Mobile,Name,,Family,
What is/was the first and last name of your oldest cousin?,What is your oldest cousin's first and last name?,Bank Fund Staff Federal Credit Union,Name,,Family,
What is/was the first and last name of your youngest cousin?,What is/was the first and last name of your youngest cousin?,Bank Fund Staff Federal Credit Union,Name,,Family,
What is/was the first name of your father's father?,What is/was the first name of your father's father?,Bank Fund Staff Federal Credit Union,Name,,Family,
What is/was the first name of your father's mother?,What is/was the first name of your father's mother?,Bank Fund Staff Federal Credit Union,Name,,Family,
What is/was the first name of your mother's father?,What is/was the first name of your mother's father?,Bank Fund Staff Federal Credit Union,Name,,Family,
What is/was the middle name of your father?,What is your father's middle name?,Bank Fund Staff Federal Credit Union,Name,,Family,
What is/was the middle name of your mother?,What is your mother's middle name?,Bank Fund Staff Federal Credit Union,Name,,Family,
What is/was the name of your oldest sibling?,What is/was the name of your oldest sibling?,Bank Fund Staff Federal Credit Union,Name,,Family,
What is/was the name of your youngest child?,What is the name of your youngest child?,Bank Fund Staff Federal Credit Union,Name,,Family,
What is/was the zodiac sign of your oldest sibling?,What is/was the zodiac sign of your oldest sibling?,Bank Fund Staff Federal Credit Union,Other,,Family,
What is/was the zodiac sign of your youngest sibling?,What is/was the zodiac sign of your youngest sibling?,Bank Fund Staff Federal Credit Union,Other,,Family,
What is/was your mother's maiden name?,What is your mother's maiden name?,Aetna,Name,,Family,
What musical instrument do you play?,What musical instrument do you play?,United Airlines,Other,,,
What occupation did you want to pursue as an adult?,What occupation did you want to pursue as an adult?,Ohio State University (my.osu.edu),Aspirations,,,
"What personality, living or dead, would you like to meet?",Who would you most like to meet?,AT&T Mobile,Aspirations,,,
What school did you attend for sixth grade?,What school did you attend for sixth grade?,Blue Cross Blue Shield Global Core (https://www.bcbsglobalcore.com/Account/Register/),Location,,Childhood,
What school did you attend in first grade?,What school did you attend in first grade?,Optum Bank,Location,,Childhood,
What school did you attend in fourth grade?,What school did you attend in fourth grade?,T-Mobile,Location,,Childhood,
What school did you attend to in fourth grade?,What school did you attend in fourth grade?,T-Mobile,Location,,Childhood,
What school did you attend to in fourth grade?,What school did you attend in fourth grade?,T-Mobile,Location,,Childhood,
What street did you grow up on?,What street did you grow up on?,EA Origin,Location,,Childhood,
What street did you grow up on?,What street did you grow up on?,https://mygoodtogo.com/olcsc/,Location,,Childhood,
What street did you live on in 3rd grade?,What street did you live on in 3rd grade?,Spectrum Internet,Location,,Childhood,
What street did you live on in 3rd grade?,What street did you live on in 3rd grade?,Spectrum,Location,,Childhood,
What street did you live on in second grade?,What street did you live on in second grade?,T-Mobile,Location,,Childhood,
What street did you live on in second grade?,What street did you live on in second grade?,T-Mobile,Location,,Childhood,
What street did you live on in second grade?,What street did you live on in second grade?,T-Mobile,Location,,Childhood,
What street did you live on when you were 11?,What street did you live on when you were 11?,Ohio State University (my.osu.edu),Location,,Childhood,
What street did your best friend in high school live on?,What street did your best friend in high school live on?,53.com,Location,,Childhood,
What street did your best friend in high school live on? (Enter full name of street only),What street did your best friend in high school live on? (Enter full name of street only),Bank of America,Location,,Childhood,
What time of the day were you born?,What time of the day were you born?,JetBlue,Time,,Childhood,
What type of work did you do in your first job?,What type of work did you do in your first job?,USCIS,Firsts,,,
What was the color of your first car?,What was the color of your first car?,Southwest Airlines,Firsts,,Cars,
What was the color of your first car?,What was the color of your first car?,Southwest Airlines,Firsts,,Cars,
What was the favorite car you owned?,What was the favorite car you owned?,US Bank,Favorites,,Cars,
What was the first album that you purchased?,What was the first album that you purchased?,Apple,Firsts,,,
What was the first car you owned?,What was the make and model of your first car?,Blizzard Entertainment,Firsts,,Cars,
What was the first company you ever worked for?,What is the name of the first company you worked for?,Bank Fund Staff Federal Credit Union,Firsts,,,
What was the first concert you attended?,What was the first concert you attended?,AT&T Mobile,Firsts,,,
What was the first concert you attended?,What was the first concert you attended?,US Bank,Firsts,,,
What was the first concert you attended?,What was the first concert you attended?,EA Origin,Firsts,,,
What was the first concert you ever went to?,What was the first concert you attended?,Bank Fund Staff Federal Credit Union,Firsts,,,
What was the first film you saw in the theater?,What was the first movie you ever went to?,Apple,Firsts,,,
What was the first foreign country you visited?,What was the first foreign country you visited?,Blue Cross Blue Shield Global Core (https://www.bcbsglobalcore.com/Account/Register/),Firsts,Location,,
What was the first live concert you attended?,What was the first concert you attended?,Bank of America,Firsts,,,
What was the first major city that you visited?,What was the first major city that you visited?,United Airlines,Firsts,Location,,
What was the first movie you ever went to?,What was the first movie you ever went to?,Bank Fund Staff Federal Credit Union,Firsts,,,
What was the first name of your favorite teacher or professor?,What was the first name of your favorite teacher or professor?,Bank of America,Favorites,,,
What was the first name of your first manager?,What was your boss' first name at your first job?,Bank of America,Name,Firsts,,
What was the first name of your first roommate?,Who was your first roommate?,Bank Fund Staff Federal Credit Union,Name,,,
What was the first stage play you ever went to?,What was the first stage play you ever went to?,Bank Fund Staff Federal Credit Union,Firsts,,,
What was the first team sport you played?,What was the first team sport you played?,USCIS,Firsts,,,
What was the first thing you learned to cook?,What was the first thing you learned to cook?,Apple,Firsts,,,
What was the first thing you learned to cook?,What was the first thing you learned to cook?,USCIS,Firsts,,,
What was the first video game you beat?,What was the first video game you beat?,Blizzard Entertainment,Firsts,,,
What was the house number you lived in when you were ten?,What was the house number you lived in when you were ten?,Bank Fund Staff Federal Credit Union,Numbers,,Childhood,
What was the last name of the most famous person you've ever met?,What was the last name of the most famous person you've ever met?,Citi Credit Card,Name,,,
What was the last name of your first boss or person you worked for?,What was the last name of your first boss or person you worked for?,USCIS,Firsts,,,
What was the last name of your first grade teacher?,What was the last name of your first grade teacher?,Bank Fund Staff Federal Credit Union,Name,,Childhood,
What was the last name of your first sports coach?,What was the last name of your first sports coach?,USCIS,Firsts,,,
What was the last name of your most influential teacher?,What was the last name of your most influential teacher?,Bank Fund Staff Federal Credit Union,Name,,Childhood,
What was the last name of your third grade teacher?,What was the last name of your third grade teacher?,JetBlue,Name,,Childhood,
What was the last name of your third grade teacher?,What was the last name of your third grade teacher?,EA Origin,Name,,Childhood,
What was the last name of your third grade teacher?,What was the last name of your third grade teacher?,Bank Fund Staff Federal Credit Union,Name,,Childhood,
What was the last name of your third grade teacher?,What was the last name of your third grade teacher?,T-Mobile,Name,,Childhood,
What was the last name of your third grade teacher?,What was the last name of your third grade teacher?,T-Mobile,Name,,Childhood,
What was the last name of your third grade teacher?,What was the last name of your third grade teacher?,SunPass,Name,,Childhood,
What was the maiden name of your mother?,What is your mother's maiden name?,Bank Fund Staff Federal Credit Union,Name,,Family,
What was the maiden name of your mother's mother?,What was the maiden name of your mother's mother?,Bank Fund Staff Federal Credit Union,Name,,Family,
What was the make and model of the first car you owned?,What was the make and model of your first car?,Ohio State University (my.osu.edu),Firsts,,Cars,
What was the make and model of your first car?,What was the make and model of your first car?,Bank of America,Firsts,,Cars,
What was the make and model of your first car?,What was the make and model of your first car?,EA Origin,Firsts,,Cars,
What was the make and model of your first car?,What was the make and model of your first car?,Bank Fund Staff Federal Credit Union,Firsts,,Cars,
What was the make and model of your first car?,What was the make and model of your first car?,USCIS,Firsts,,Cars,
What was the make and model of your first mobile phone?,What was the make and model of your first mobile phone?,AT&T Mobile,Firsts,,,
What was the make of your first car?,What was the make of your first car?,Citi Credit Card,Firsts,,Cars,
What was the make of your first car?,What was the make of your first car?,United Airlines,Firsts,,Cars,
What was the make of your first car?,What was the make of your first car?,ESRI,Firsts,,Cars,
What was the model of the first automobile you drove?,What was the model of your first car?,Ohio State University (my.osu.edu),Firsts,,Cars,
What was the model of your first car?,What was the model of your first car?,US Bank,Firsts,,Cars,
What was the model of your first car?,What was the model of your first car?,Apple,Firsts,,Cars,
What was the name of a best friend during childhood?,What is the name of your childhood best friend?,https://www.employeeexpress.gov/Default.aspx,Name,,Childhood,
What was the name of the best man at your wedding?,What was the name of the best man at your wedding?,US Bank,Name,,,
What was the name of the company in which you got your first promotion?,What was the name of the company in which you got your first promotion?,USCIS,Firsts,,,
What was the name of the first elementary/primary school you ever attended?,What was the name of the first elementary/primary school you ever attended?,Bank Fund Staff Federal Credit Union,Location,,Childhood,
What was the name of the first school you ever attended?,What was the name of the first school you ever attended?,Citi Credit Card,Firsts,Location,Childhood,
What was the name of the hospital in which you were born?,What is the name of the hospital you were born in?,Bank Fund Staff Federal Credit Union,Location,,Childhood,
What was the name of the road you lived on when you were sixteen?,What was the name of the road you lived on when you were sixteen?,Bank Fund Staff Federal Credit Union,Location,,Childhood,
What was the name of the road your childhood best friend lived on?,What was the name of the road your childhood best friend lived on?,Bank Fund Staff Federal Credit Union,Location,,Childhood,
What was the name of the school you attended for sixth grade?,What school did you attend for sixth grade?,Bank Fund Staff Federal Credit Union,Location,,Childhood,
What was the name of your best friend during childhood?,What is the name of your childhood best friend?,T-Mobile,Name,,Childhood,
What was the name of your best friend during childhood?,What is the name of your childhood best friend?,T-Mobile,Name,,Childhood,
What was the name of your best friend during childhood?,What is the name of your childhood best friend?,T-Mobile,Name,,Childhood,
What was the name of your best friend in high school?,What is the name of your childhood best friend?,US Bank,Name,,Childhood,
What was the name of your childhood best friend?,What is the name of your childhood best friend?,Bank Fund Staff Federal Credit Union,Name,,Childhood,
What was the name of your elementary school?,What is the name of your elementary school?,Square Enix,Location,,Childhood,
What was the name of your elementary school?,What is the name of your elementary school?,FAFSA,Location,,Childhood,
What was the name of your favorite childhood toy?,What was the name of your favorite childhood toy?,US Bank,Name,Favorites,Childhood,
What was the name of your favorite manager?,What was the name of your favorite manager?,US Bank,Name,Favorites,,
What was the name of your favorite stuffed animal?,What was the name of your favorite stuffed animal?,EA Origin,Name,Favorites,Childhood,
What was the name of your first pet?,What is the name of your first pet?,Citieasydeals.com,Name,,Pet,
What was the name of your first pet?,What is the name of your first pet?,howtogeek.com,Name,,Pet,
What was the name of your first pet?,What is the name of your first pet?,Bank of America,Name,,Pet,
What was the name of your first pet?,What is the name of your first pet?,Apple,Name,,Pet,
What was the name of your first pet?,What is the name of your first pet?,Spectrum Internet,Name,,Pet,
What was the name of your first pet?,What is the name of your first pet?,Aetna,Name,,Pet,
What was the name of your first pet?,What is the name of your first pet?,T-Mobile,Name,,Pet,
What was the name of your first pet?,What is the name of your first pet?,PayPal,Name,,Pet,
What was the name of your first pet?,What is the name of your first pet?,Bank Fund Staff Federal Credit Union,Name,,Pet,
What was the name of your first pet?,What is the name of your first pet?,Source Withheld,Name,,Pet,
What was the name of your first pet?,What is the name of your first pet?,Aetna,Name,,Pet,
What was the name of your first pet?,What is the name of your first pet?,Spectrum,Name,,Pet,
What was the name of your first school?,What was the name of your first school?,PayPal,Location,,Childhood,
What was the name of your second pet?,What was the name of your second pet?,Blizzard Entertainment,Name,,Pet,
What was the name of your second pet?,What was the name of your second pet?,USCIS,Name,,Pet,
What was the street you lived on in high school?,What was the street you lived on in high school?,Blizzard Entertainment,Location,,Childhood,
What was your boss' first name at your first job?,What was your boss' first name at your first job?,Citi Credit Card,Name,Firsts,,
What was your boss' first name at your first job?,What was your boss' first name at your first job?,53.com,Name,Firsts,,
What was your childhood nickname?,What was your childhood nickname?,JetBlue,Name,,Childhood,
What was your childhood nickname?,What was your childhood nickname?,Ohio State University (my.osu.edu),Name,,Childhood,
What was your childhood nickname?,What was your childhood nickname?,T-Mobile,Name,,Childhood,
What was your childhood nickname?,What was your childhood nickname?,T-Mobile,Name,,Childhood,
What was your childhood nickname?,What was your childhood nickname?,Apple,Name,,Childhood,
What was your childhood nickname?,What was your childhood nickname?,SUNY Buffalo,Name,,Childhood,
What was your childhood nickname?,What was your childhood nickname?,T-Mobile,Name,,Childhood,
What was your childhood phone number including area code?,What was your childhood phone number including area code?,AT&T Mobile,Numbers,,Childhood,
What was your childhood phone number including area code?,What was your childhood phone number including area code?,T-Mobile,Numbers,,Childhood,
What was your childhood phone number including area code?,What was your childhood phone number including area code?,T-Mobile,Numbers,,Childhood,
What was your dream job as a kid?,What is your dream job as a child?,EA Origin,Aspirations,,Childhood,
What was your favorite book as a child?,What was your favorite book as a child?,US Bank,Favorites,,Childhood,
What was your favorite book as a child?,What was your favorite book as a child?,www.nsandi.com,Favorites,,Childhood,
What was your favorite book as a child?,What was your favorite book as a child?,US Bank,Favorites,,Childhood,
What was your favorite childhood activity?,What was your favorite childhood activity?,Ohio State University (my.osu.edu),Favorites,,Childhood,
What was your favorite fruit or vegetable as a child?,What was your favorite fruit or vegetable as a child?,Source Withheld,Favorites,,Childhood,
What was your favorite Halloween costume in elementary school? ,What was your favorite Halloween costume in elementary school? ,PNC Bank,Favorites,,Childhood,
What was your favorite movie as a child?,What was your favorite movie as a child?,US Bank,Favorites,,Childhood,
What was your favorite place to visit as a child?,What was your favorite place to visit as a child?,https://www.employeeexpress.gov/Default.aspx,Favorites,Location,Childhood,
What was your favorite place to visit as a child?,What was your favorite place to visit as a child?,https://www.cengagebrain.co.uk/,Favorites,Location,Childhood,
What was your favorite subject in school?,What was your favorite subject in school?,United Airlines,Favorites,,Childhood,
What was your favorite subject in school?,What was your favorite subject in school?,United Airlines,Favorites,,Childhood,
What was your favorite teacher's name?,What is the last name of your favorite teacher?,US Bank,Name,Favorites,Childhood,
What was your favorite teacher's name?,What is the last name of your favorite teacher?,Square Enix,Name,Favorites,Childhood,
What was your favorite toy when you were a child?,What was the name of your favorite childhood toy?,USCIS,Name,Favorites,Childhood,
What was your favorite TV show as a child?,What was your favorite TV show as a child?,US Bank,Favorites,,Childhood,
What was your first car (Include make and model)?,What was the make and model of your first car?,Blue Cross Blue Shield Global Core (https://www.bcbsglobalcore.com/Account/Register/),Firsts,,Cars,
What was your first car's make and model?,What was the make and model of your first car?,Optum Bank,Firsts,,Cars,
What was your first girlfriend or boyfriend's name?,What is the name of your first boyfriend or girlfriend?,EA Origin,Name,,,
What was your first job?,What was your first job?,Ohio State University (my.osu.edu),Firsts,,,
What was your first job?,What was your first job?,EA Origin,Firsts,,,
What was your first pet's type and name?,What was your first pet's type and name?,Ohio State University (my.osu.edu),Firsts,Name,Pet,
What was your first phone number?,What was your childhood phone number including area code?,Optum Bank,Numbers,,Childhood,
What was your high school mascot?,What was your highschool mascot?,Citieasydeals.com,Other,,Childhood,
What was your high school mascot?,What was your highschool mascot?,Southwest Airlines,Other,,Childhood,
What was your high school mascot?,What was your highschool mascot?,Aetna,Other,,Childhood,
What was your high school mascot?,What was your highschool mascot?,Bank Fund Staff Federal Credit Union,Other,,Childhood,
What was your high school mascot?,What was your highschool mascot?,Southwest Airlines,Other,,Childhood,
What was your high school mascot?,What was your highschool mascot?,https://www.cengagebrain.co.uk/,Other,,Childhood,
What was your high school mascot?,What was your highschool mascot?,Aetna,Other,,Childhood,
What was your high school mascot?,What was your highschool mascot?,FAFSA,Other,,Childhood,
What was your high school mascot?,What was your highschool mascot?,Optum Bank,Other,,Childhood,
What was your high school mascot?,What was your highschool mascot?,ESRI,Other,,Childhood,
What was your highschool mascot?,What was your highschool mascot?,JetBlue,Other,,Childhood,
What was your least favorite fruit or vegetable as a child?,What was your least favorite fruit or vegetable as a child?,United Airlines,Favorites,,Childhood,
What was your maternal grandmother's maiden name?,What is your mother's maiden name?,SUNY Buffalo,Name,,Family,
What was your most favorite fruit or vegetable as a child?,What was your favorite fruit or vegetable as a child?,United Airlines,Favorites,,Childhood,
What was your nickname as a child?,What was your childhood nickname?,Aetna,Name,,Childhood,
What were the last 5 digits of your childhood phone number?,What were the last 5 digits of your childhood phone number?,Bank Fund Staff Federal Credit Union,Numbers,,Childhood,
What year did you first fly in an airplane?,What year did you first fly in an airplane?,Source Withheld,Time,Firsts,,
What year did you get your first car?,What year did you get your first car?,Source Withheld,Time,Firsts,Cars,
What year did you get your first computer?,What year did you get your first computer?,Source Withheld,Time,Firsts,,
What year did you get your first credit card?,What year did you get your first credit card?,Source Withheld,Time,,,
What year did you graduate from college?,What year did you graduate from college?,JetBlue,Time,,,
What's the last name of the biggest celebrity you've met?,What's the last name of the biggest celebrity you've met?,AT&T Mobile,Name,,,
What's the name of the hospital in which you were born?,What is the name of the hospital you were born in?,PayPal,Location,,Childhood,
When is your anniversary (mm/dd/yy)?,When is your anniversary (mm/dd/yy)?,https://www.cengagebrain.co.uk/,Time,,Family,
When is your father's birthday (MM/DD)?,When is your father's birthday (MM/DD)?,53.com,Time,,Family,
When is your father's birthday (MM/DD)?,When is your father's birthday (MM/DD)?,Citi Credit Card,Time,,Family,
When is your mother's birthday (MM/DD)?,When is your mother's birthday (MM/DD)?,Citi Credit Card,Time,,Family,
When is your oldest child's birthday (MM/DD)?,When is your oldest child's birthday (MM/DD)?,Citi Credit Card,Time,,Family,
When is your oldest child's birthday (MM/DD)?,When is your oldest child's birthday (MM/DD)?,www.nsandi.com,Time,,Family,
When is your youngest child's birthday (MM/DD)?,When is your youngest child's birthday (MM/DD)?,Citi Credit Card,Time,,Family,
When was your youngest sibling born? (Month and year),When was your youngest sibling born? (Month and year),USCIS,Time,,Family,
"When you were a child, what did you want to be when you grew up?","When you were a child, what did you want to be when you grew up?",AT&T Mobile,Aspirations,,Childhood,
"When you were young, what did you want to be when you grew up?","When you were young, what did you want to be when you grew up?",United Airlines,Aspirations,,Childhood,
Where did you go for your honeymoon?,Where did you go on your honeymoon?,EA Origin,Location,,Family,
Where did you go on your first date?,Where did you go on your first date?,https://www.cengagebrain.co.uk/,Location,,,
Where did you go on your first date?,Where did you go on your first date?,ESRI,Location,,,
Where did you go on your honeymoon?,Where did you go on your honeymoon?,Bank Fund Staff Federal Credit Union,Location,,Family,
Where did you go the first time you flew on a plane?,Where did you go the first time you flew on a plane?,Apple,Firsts,Location,,
Where did you meet your spouse or partner for the very first time?,In what city did you meet your spouse/significant other?,US Bank,Location,,Family,
Where did you meet your spouse/partner?,In what city did you meet your spouse/significant other?,Delta Airlines,Location,,Family,
Where did your parents meet?,In what city did your parents meet?,Ohio State University (my.osu.edu),Location,,Family,
Where did your parents meet?,In what city did your parents meet?,EA Origin,Location,,Family,
Where do you want to retire?,Where do you want to retire?,Bank Fund Staff Federal Credit Union,Aspirations,Location,,
Where does your favorite cheese come from?,Where does your favorite cheese come from?,Ohio State University (my.osu.edu),Favorites,Location,,
Where was the first place you flew?,Where did you go the first time you flew on a plane?,Blizzard Entertainment,Firsts,Location,,
Where was your maternal great-grandfather born?,Where was your maternal great-grandfather born?,Ohio State University (my.osu.edu),Location,,Family,
Where was your wedding reception held?,What is the name of the place your wedding reception was held?,USCIS,Location,,Family,
Where were you born?,In which city were you born?,Ohio State University (my.osu.edu),Location,,Childhood,
Where were you in New Year's 2000?,"Where were you on January 1st, 2000?",Bank of America,Location,,,
"Where were you on January 1st, 2000?","Where were you on January 1st, 2000?",Ohio State University (my.osu.edu),Location,,,
Where were you when you had your first kiss?,Where were you when you had your first kiss?,AT&T Mobile,Location,,,
Where would you most like to have a vacation home?,Where would you most like to have a vacation home?,US Bank,Aspirations,Location,,
Where would you most like to live when you retire?,Where do you want to retire?,US Bank,Aspirations,Location,,
Where would you most like to live when you retire?,Where do you want to retire?,US Bank,Aspirations,Location,,
Where would you most like to live?,Where would you most like to live?,US Bank,Aspirations,Location,,
Which is your favorite movie?,What is the name of your favorite movie?,https://www.cengagebrain.co.uk/,Favorites,,,
Which is your favorite sports team?,What is the name of your favorite sports team?,https://www.cengagebrain.co.uk/,Favorites,,,
Which is your least favorite fruit?,Which is your least favorite fruit?,53.com,Favorites,,,
Which phone number do you remember most from your childhood? (Numerals only),What is the phone number you remember most from your childhood?,https://www.employeeexpress.gov/Default.aspx,Numbers,,Childhood,
Which state did you first visit (other than the one you were born in?),Which state did you first visit (other than the one you were born in?),53.com,Location,,,
Which university did you attend?,Which university did you attend?,www.nsandi.com,Location,,,
Which was the first foreign country you visited?,What was the first foreign country you visited?,www.nsandi.com,Firsts,Location,,
"Who is a famous, deceased person you would have liked to meet?","Who is a famous, deceased person you would have liked to meet?",USCIS,Aspirations,Name,,
"Who is your favorite actor, musician, or artist?",Who is your favorite artist?,https://www.cengagebrain.co.uk/,Favorites,,,
"Who is your favorite actor, musician, or artist?",Who is your favorite artist?,SUNY Buffalo,Favorites,,,
Who is your favorite artist?,Who is your favorite artist?,United Airlines,Favorites,,,
Who is your favorite artist?,Who is your favorite artist?,United Airlines,Favorites,,,
Who is your favorite artist?,Who is your favorite artist?,United Airlines,Favorites,,,
Who is your favorite athlete?,Who is your favorite athlete?,Citi Credit Card,Favorites,,,
Who is your favorite celebrity?,Who is your favorite celebrity?,Bank Fund Staff Federal Credit Union,Favorites,,,
Who is your favorite historical figure?,Who is your favorite historical figure?,US Bank,Name,Favorites,,
Who is your favorite historical figure?,Who is your favorite historical figure?,US Bank,Name,Favorites,,
Who is your favorite person in history?,Who is your favorite historical figure?,Bank of America,Name,Favorites,,
Who is your favorite speaker?,Who is your favorite speaker?,Ohio State University (my.osu.edu),Name,Favorites,,
Who is your favorite sports team?,What is the name of your favorite sports team?,Optum Bank,Favorites,,,
Who is your favourite sports team?,What is the name of your favorite sports team?,www.nsandi.com,Favorites,,,
Who is your mother's or father's closest friend?,Who is your mother's or father's closest friend?,Ohio State University (my.osu.edu),Name,,Family,
Who was your childhood hero?,Who was your childhood hero?,Bed Bath and Beyond,Name,,Childhood,
